year,state,category,count_thousands
1988,VIC,CALVES,716.8
1988,QLD,CALVES,192.8
1988,SA,CALVES,28.3
1988,WA,CALVES,12.7
1988,TAS,CALVES,35.6
1988,NSW,SHEEP,4564.7
1988,VIC,SHEEP,3529.7
1988,QLD,SHEEP,695.8
1988,SA,SHEEP,2214.1
1988,WA,SHEEP,3167.4
1988,TAS,SHEEP,630.0
1988,NSW,LAMBS,5112.4
1988,VIC,LAMBS,7111.0
1988,QLD,LAMBS,914.1
1988,SA,LAMBS,1939.6
1988,WA,LAMBS,1141.5
1988,TAS,LAMBS,656.0
1988,NSW,PIGS,1596.0
1988,VIC,PIGS,938.4
1988,QLD,PIGS,1113.5
1988,SA,PIGS,602.2
1988,WA,PIGS,507.6
1988,TAS,PIGS,97.5
1989,NSW,BULLS_BULLOCKS_STEERS,952.2
1989,VIC,BULLS_BULLOCKS_STEERS,749.4
1989,QLD,BULLS_BULLOCKS_STEERS,1393.2
1989,SA,BULLS_BULLOCKS_STEERS,259.4
1989,WA,BULLS_BULLOCKS_STEERS,252.8
1989,TAS,BULLS_BULLOCKS_STEERS,97.2
1989,NSW,COWS_HEIFERS,690.2
1989,VIC,COWS_HEIFERS,550.2
1989,QLD,COWS_HEIFERS,768.9
1989,SA,COWS_HEIFERS,125.4
1989,WA,COWS_HEIFERS,194.0
1989,TAS,COWS_HEIFERS,63.9
1989,NSW,CATTLE,1642.4
1989,VIC,CATTLE,1299.6
1989,QLD,CATTLE,2162.1
1989,SA,CATTLE,384.8
1989,WA,CATTLE,446.8
1989,TAS,CATTLE,161.1
1989,NSW,CALVES,160.2
1989,VIC,CALVES,575.5
1989,QLD,CALVES,157.7
1989,SA,CALVES,23.3
1989,WA,CALVES,11.4
1989,TAS,CALVES,40.5
1989,NSW,SHEEP,3794.5
1989,VIC,SHEEP,3052.9
1989,QLD,SHEEP,635.5
1989,SA,SHEEP,1978.6
1989,WA,SHEEP,2347.8
1989,TAS,SHEEP,412.4
1989,NSW,LAMBS,5234.5
1989,VIC,LAMBS,6264.1
1989,QLD,LAMBS,958.9
1989,SA,LAMBS,1982.2
1989,WA,LAMBS,997.6
1989,TAS,LAMBS,595.0
1989,NSW,PIGS,1600.5
1989,VIC,PIGS,916.6
1989,QLD,PIGS,1157.1
1989,SA,PIGS,658.7
1989,WA,PIGS,502.9
1989,TAS,PIGS,95.5
1990,NSW,BULLS_BULLOCKS_STEERS,1106.0
1990,VIC,BULLS_BULLOCKS_STEERS,798.8
1990,QLD,BULLS_BULLOCKS_STEERS,1553.4
1990,SA,BULLS_BULLOCKS_STEERS,285.2
1990,WA,BULLS_BULLOCKS_STEERS,285.9
1990,TAS,BULLS_BULLOCKS_STEERS,117.0
1990,NSW,COWS_HEIFERS,793.4
1990,VIC,COWS_HEIFERS,611.2
1990,QLD,COWS_HEIFERS,780.8
1990,SA,COWS_HEIFERS,147.8
1990,WA,COWS_HEIFERS,208.7
1990,TAS,COWS_HEIFERS,74.7
1990,NSW,CATTLE,1899.4
1990,VIC,CATTLE,1410.0
1990,QLD,CATTLE,2334.1
1990,SA,CATTLE,433.0
1990,WA,CATTLE,494.6
1990,TAS,CATTLE,191.7
1990,NSW,CALVES,190.0
1990,VIC,CALVES,585.1
1990,QLD,CALVES,144.8
1990,SA,CALVES,23.5
1990,WA,CALVES,11.8
1990,TAS,CALVES,34.9
1990,NSW,SHEEP,5021.3
1990,VIC,SHEEP,3326.0
1990,QLD,SHEEP,766.0
1990,SA,SHEEP,2417.5
1990,WA,SHEEP,3814.6
1990,TAS,SHEEP,532.3
1990,NSW,LAMBS,4989.4
1990,VIC,LAMBS,6199.9
1990,QLD,LAMBS,949.1
1990,SA,LAMBS,2162.9
1990,WA,LAMBS,1469.5
1990,TAS,LAMBS,588.8
1990,NSW,PIGS,1606.9
1990,VIC,PIGS,971.3
1990,QLD,PIGS,1118.8
1990,SA,PIGS,620.7
1990,WA,PIGS,460.9
1990,TAS,PIGS,86.8
1991,NSW,BULLS_BULLOCKS_STEERS,1063.5
1991,VIC,BULLS_BULLOCKS_STEERS,914.0
1991,QLD,BULLS_BULLOCKS_STEERS,1674.6
1991,SA,BULLS_BULLOCKS_STEERS,253.1
1991,WA,BULLS_BULLOCKS_STEERS,253.5
1991,TAS,BULLS_BULLOCKS_STEERS,111.9
1991,NSW,COWS_HEIFERS,901.4
1991,VIC,COWS_HEIFERS,699.4
1991,QLD,COWS_HEIFERS,897.4
1991,SA,COWS_HEIFERS,133.3
1991,WA,COWS_HEIFERS,187.0
1991,TAS,COWS_HEIFERS,79.4
1991,NSW,CATTLE,1965.0
1991,VIC,CATTLE,1613.4
1991,QLD,CATTLE,2572.0
1991,SA,CATTLE,386.4
1991,WA,CATTLE,440.4
1991,TAS,CATTLE,191.3
1991,NSW,CALVES,210.7
1991,VIC,CALVES,615.5
1991,QLD,CALVES,147.0
1991,SA,CALVES,11.1
1991,WA,CALVES,8.8
1991,TAS,CALVES,30.6
1991,NSW,SHEEP,5426.6
1991,VIC,SHEEP,4054.4
1991,QLD,SHEEP,872.4
1991,SA,SHEEP,2966.4
1991,WA,SHEEP,4187.7
1991,TAS,SHEEP,448.3
1991,NSW,LAMBS,4789.9
1991,VIC,LAMBS,6246.3
1991,QLD,LAMBS,992.3
1991,SA,LAMBS,1820.0
